Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","LED","D_0805_2012Metric",205.740000,-102.235000,-90.000000,top
"D2","1N4148","D_SOD-123",209.550000,-102.870000,90.000000,top
"J1","USB_A","USB_A_Molex_67643_Horizontal",159.060000,-101.320000,0.000000,top
"J2","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",137.160000,-137.160000,0.000000,top
"J3","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",127.000000,-137.160000,0.000000,top
"J4","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",193.040000,-124.460000,0.000000,top
"J5","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",212.725000,-124.460000,0.000000,top
"J6","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",231.140000,-124.460000,0.000000,top
"K1","G6DN-1A-L_DC5","G6DN-1A-L",235.213080,-100.340000,0.000000,top
"PS1","RS PRO 5V 2A","RS PRO 5V 2A",66.292500,-134.612500,0.000000,top
"Q1","2N3904","SOT-23",201.050000,-102.305000,0.000000,top
"R1","4.7K立","R_0402_1005Metric",132.080000,-140.970000,-90.000000,top
"R2","1K立","R_0402_1005Metric",202.830000,-105.410000,0.000000,top
"R3","10K立","R_0402_1005Metric",200.025000,-105.410000,180.000000,top
"R4","330立","R_0402_1005Metric",205.740000,-105.410000,0.000000,top
"T1","Transformer_1P_2S","VCM36212",183.160000,-43.180000,0.000000,top
"U1","ESP32-POE","ESP32-POE",137.160000,-73.660000,0.000000,top
